%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
3.5900E+2	2.4879E+1	3.7474E-1	-6.4543E+1	-8.3600E+1	-6.9597E+1	-6.8413E+1	-7.0311E+1
3.7374E+2	2.4879E+1	3.5563E-1	-6.4622E+1	-8.3655E+1	-6.9681E+1	-6.8521E+1	-7.0341E+1
3.8908E+2	2.4879E+1	3.3693E-1	-6.4670E+1	-8.3383E+1	-6.9752E+1	-6.8541E+1	-7.0418E+1
4.0505E+2	2.4880E+1	3.1863E-1	-6.4611E+1	-8.3067E+1	-6.9672E+1	-6.8507E+1	-7.0357E+1
4.2168E+2	2.4880E+1	3.0098E-1	-6.4708E+1	-8.3655E+1	-6.9779E+1	-6.8617E+1	-7.0399E+1
4.3899E+2	2.4880E+1	2.8357E-1	-6.4777E+1	-8.3683E+1	-6.9910E+1	-6.8676E+1	-7.0417E+1
4.5702E+2	2.4880E+1	2.6673E-1	-6.4808E+1	-8.4083E+1	-6.9918E+1	-6.8703E+1	-7.0462E+1
4.7578E+2	2.4880E+1	2.5011E-1	-6.4888E+1	-8.4357E+1	-7.0070E+1	-6.8757E+1	-7.0492E+1
4.9531E+2	2.4880E+1	2.3394E-1	-6.4927E+1	-8.4292E+1	-7.0094E+1	-6.8826E+1	-7.0506E+1
5.1565E+2	2.4881E+1	2.1794E-1	-6.4935E+1	-8.4252E+1	-7.0120E+1	-6.8822E+1	-7.0517E+1
5.3681E+2	2.4881E+1	2.0231E-1	-6.4993E+1	-8.4459E+1	-7.0209E+1	-6.8874E+1	-7.0542E+1
5.5885E+2	2.4881E+1	1.8703E-1	-6.5122E+1	-8.4581E+1	-7.0391E+1	-6.8969E+1	-7.0666E+1
